2024-11-24 01:07:12,906 | 192.168.31.133 | CONNECT | play.google.com:443 | 200 | 0
2024-11-24 01:07:15,278 | 192.168.31.133 | CONNECT | play.google.com:443 | 200 | 0
2024-11-24 01:07:24,784 | 192.168.31.133 | CONNECT | en.wikipedia.org:443 | 200 | 0
2024-11-24 01:07:25,609 | 192.168.31.133 | CONNECT | upload.wikimedia.org:443 | 200 | 0
2024-11-24 01:07:25,611 | 192.168.31.133 | CONNECT | upload.wikimedia.org:443 | 200 | 0
2024-11-24 01:07:25,615 | 192.168.31.133 | CONNECT | upload.wikimedia.org:443 | 200 | 0
2024-11-24 01:07:25,616 | 192.168.31.133 | CONNECT | upload.wikimedia.org:443 | 200 | 0
2024-11-24 01:07:25,695 | 192.168.31.133 | CONNECT | upload.wikimedia.org:443 | 200 | 0
2024-11-24 01:07:25,697 | 192.168.31.133 | CONNECT | upload.wikimedia.org:443 | 200 | 0
2024-11-24 01:07:26,291 | 192.168.31.133 | CONNECT | login.wikimedia.org:443 | 200 | 0
2024-11-24 01:07:29,392 | 192.168.31.133 | CONNECT | www.google.com:443 | 200 | 0
2024-11-24 01:07:32,295 | 192.168.31.133 | CONNECT | www.googleadservices.com:443 | 200 | 0
2024-11-24 01:07:32,426 | 192.168.31.133 | CONNECT | csp.withgoogle.com:443 | 200 | 0
2024-11-24 01:07:32,435 | 192.168.31.133 | CONNECT | ogads-pa.clients6.google.com:443 | 200 | 0
2024-11-24 01:07:32,466 | 192.168.31.133 | CONNECT | dnsleaktest.com:443 | 200 | 0
2024-11-24 01:07:33,536 | 192.168.31.133 | CONNECT | accounts.google.com:443 | 200 | 0
2024-11-24 01:07:33,723 | 192.168.31.133 | CONNECT | www.gstatic.com:443 | 200 | 0
2024-11-24 01:07:35,871 | 192.168.31.133 | CONNECT | www.dnsleaktest.com:443 | 200 | 0
2024-11-24 01:07:37,385 | 192.168.31.133 | CONNECT | ogs.google.com:443 | 200 | 0
2024-11-24 01:07:38,919 | 192.168.31.133 | CONNECT | push.services.mozilla.com:443 | 200 | 0
2024-11-24 01:07:38,988 | 192.168.31.133 | CONNECT | push.services.mozilla.com:443 | 200 | 0
2024-11-24 01:07:38,989 | 192.168.31.133 | CONNECT | push.services.mozilla.com:443 | 200 | 0
2024-11-24 01:07:49,385 | 192.168.31.133 | CONNECT | incoming.telemetry.mozilla.org:443 | 200 | 0
2024-11-24 01:07:49,519 | 192.168.31.133 | CONNECT | tiles-cdn.prod.ads.prod.webservices.mozgcp.net:443 | 200 | 0
2024-11-24 01:07:49,665 | 192.168.31.133 | CONNECT | img-getpocket.cdn.mozilla.net:443 | 200 | 0
2024-11-24 01:07:50,185 | 192.168.31.133 | CONNECT | www.google.com:443 | 200 | 0
2024-11-24 01:07:50,392 | 192.168.31.133 | CONNECT | encrypted-tbn0.gstatic.com:443 | 200 | 0
2024-11-24 01:07:52,646 | 192.168.31.133 | GET | http://ipinfo.io/ | 200 | 83694
2024-11-24 01:07:58,285 | 192.168.31.133 | GET | http://ipinfo.io/ | 200 | 83694
2024-11-24 01:08:10,456 | 192.168.31.133 | GET | http://ipinfo.io/json | 200 | 265
2024-11-24 01:08:19,981 | 192.168.31.133 | CONNECT | push.services.mozilla.com:443 | 200 | 0
2024-11-24 01:08:21,208 | 192.168.31.133 | CONNECT | firefox.settings.services.mozilla.com:443 | 200 | 0
2024-11-24 01:08:30,230 | 192.168.31.133 | CONNECT | ipinfo.io:443 | 200 | 0
2024-11-24 01:08:33,344 | 192.168.31.133 | CONNECT | website-cdn.ipinfo.io:443 | 200 | 0
2024-11-24 01:08:33,345 | 192.168.31.133 | CONNECT | website-cdn.ipinfo.io:443 | 200 | 0
2024-11-24 01:08:33,346 | 192.168.31.133 | CONNECT | website-cdn.ipinfo.io:443 | 200 | 0
2024-11-24 01:08:33,347 | 192.168.31.133 | CONNECT | fonts.googleapis.com:443 | 200 | 0
2024-11-24 01:08:33,348 | 192.168.31.133 | CONNECT | website-cdn.ipinfo.io:443 | 200 | 0
2024-11-24 01:08:33,348 | 192.168.31.133 | CONNECT | website-cdn.ipinfo.io:443 | 200 | 0
2024-11-24 01:08:33,349 | 192.168.31.133 | CONNECT | website-cdn.ipinfo.io:443 | 200 | 0
2024-11-24 01:08:33,349 | 192.168.31.133 | CONNECT | use.typekit.net:443 | 200 | 0
2024-11-24 01:08:35,963 | 192.168.31.133 | CONNECT | p.typekit.net:443 | 200 | 0
2024-11-24 01:08:36,590 | 192.168.31.133 | CONNECT | use.typekit.net:443 | 200 | 0
2024-11-24 01:08:36,590 | 192.168.31.133 | CONNECT | use.typekit.net:443 | 200 | 0
2024-11-24 01:08:36,591 | 192.168.31.133 | CONNECT | use.typekit.net:443 | 200 | 0
2024-11-24 01:08:36,844 | 192.168.31.133 | CONNECT | www.googletagmanager.com:443 | 200 | 0
2024-11-24 01:08:37,074 | 192.168.31.133 | CONNECT | api.iconify.design:443 | 200 | 0
2024-11-24 01:08:37,078 | 192.168.31.133 | CONNECT | pixel.ipinfo.io:443 | 200 | 0
2024-11-24 01:08:37,534 | 192.168.31.133 | CONNECT | js.hsforms.net:443 | 200 | 0
2024-11-24 01:08:37,535 | 192.168.31.133 | CONNECT | cdn.ipinfo.io:443 | 200 | 0
2024-11-24 01:08:37,536 | 192.168.31.133 | CONNECT | cdn-4.convertexperiments.com:443 | 200 | 0
2024-11-24 01:08:39,391 | 192.168.31.133 | CONNECT | app.termly.io:443 | 200 | 0
2024-11-24 01:08:40,871 | 192.168.31.133 | CONNECT | js.hs-scripts.com:443 | 200 | 0
2024-11-24 01:08:44,248 | 192.168.31.133 | CONNECT | tracking.g2crowd.com:443 | 200 | 0
2024-11-24 01:08:44,306 | 192.168.31.133 | CONNECT | www.googletagmanager.com:443 | 200 | 0
2024-11-24 01:09:26,235 | 192.168.31.133 | CONNECT | analytics.google.com:443 | 200 | 0
2024-11-24 01:09:26,312 | 192.168.31.133 | CONNECT | www.google.co.in:443 | 200 | 0
2024-11-24 01:09:26,383 | 192.168.31.133 | CONNECT | app.termly.io:443 | 200 | 0
2024-11-24 01:09:26,415 | 192.168.31.133 | CONNECT | app.termly.io:443 | 200 | 0
2024-11-24 01:09:26,439 | 192.168.31.133 | CONNECT | stats.g.doubleclick.net:443 | 200 | 0
2024-11-24 01:09:26,452 | 192.168.31.133 | CONNECT | googleads.g.doubleclick.net:443 | 200 | 0
2024-11-24 01:09:26,553 | 192.168.31.133 | CONNECT | static.ads-twitter.com:443 | 200 | 0
2024-11-24 01:09:26,573 | 192.168.31.133 | CONNECT | a.quora.com:443 | 200 | 0
2024-11-24 01:09:26,638 | 192.168.31.133 | CONNECT | www.clarity.ms:443 | 200 | 0
2024-11-24 01:09:26,651 | 192.168.31.133 | CONNECT | js.hsadspixel.net:443 | 200 | 0
2024-11-24 01:09:26,687 | 192.168.31.133 | CONNECT | js.hs-banner.com:443 | 200 | 0
2024-11-24 01:09:26,706 | 192.168.31.133 | CONNECT | js.hscollectedforms.net:443 | 200 | 0
2024-11-24 01:09:26,733 | 192.168.31.133 | CONNECT | js.hubspot.com:443 | 200 | 0
2024-11-24 01:09:26,742 | 192.168.31.133 | CONNECT | js.hs-analytics.net:443 | 200 | 0
2024-11-24 01:09:26,802 | 192.168.31.133 | CONNECT | stats.g.doubleclick.net:443 | 200 | 0
2024-11-24 01:09:33,709 | 192.168.31.133 | CONNECT | www.youtube.com:443 | 200 | 0
2024-11-24 01:10:05,965 | 192.168.31.133 | CONNECT | i.ytimg.com:443 | 200 | 0
2024-11-24 01:10:29,019 | 192.168.31.133 | CONNECT | googleads.g.doubleclick.net:443 | 200 | 0
2024-11-24 01:10:29,120 | 192.168.31.133 | CONNECT | rr1---sn-4g5lznl6.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:29,658 | 192.168.31.133 | CONNECT | rr1---sn-4g5lznl6.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,054 | 192.168.31.133 | CONNECT | yt3.ggpht.com:443 | 200 | 0
2024-11-24 01:10:30,095 | 192.168.31.133 | CONNECT | www.google.co.in:443 | 200 | 0
2024-11-24 01:10:30,200 | 192.168.31.133 | CONNECT | youtube.com:443 | 200 | 0
2024-11-24 01:10:30,301 | 192.168.31.133 | CONNECT | accounts.youtube.com:443 | 200 | 0
2024-11-24 01:10:30,452 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,458 | 192.168.31.133 | CONNECT | rr2---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,490 | 192.168.31.133 | CONNECT | jnn-pa.googleapis.com:443 | 200 | 0
2024-11-24 01:10:30,491 | 192.168.31.133 | CONNECT | static.doubleclick.net:443 | 200 | 0
2024-11-24 01:10:30,536 | 192.168.31.133 | CONNECT | jnn-pa.googleapis.com:443 | 200 | 0
2024-11-24 01:10:30,638 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,638 | 192.168.31.133 | CONNECT | rr2---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,644 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,645 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,652 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,654 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,662 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,663 | 192.168.31.133 | CONNECT | tpc.googlesyndication.com:443 | 200 | 0
2024-11-24 01:10:30,672 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,679 | 192.168.31.133 | CONNECT | googleads.g.doubleclick.net:443 | 200 | 0
2024-11-24 01:10:30,692 | 192.168.31.133 | CONNECT | rr4---sn-q4flrnel.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:30,704 | 192.168.31.133 | CONNECT | rr4---sn-q4flrnel.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:31,017 | 192.168.31.133 | CONNECT | fonts.gstatic.com:443 | 200 | 0
2024-11-24 01:10:31,022 | 192.168.31.133 | CONNECT | rr2---sn-h5576nsz.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:31,119 | 192.168.31.133 | CONNECT | contile.services.mozilla.com:443 | 200 | 0
2024-11-24 01:10:31,143 | 192.168.31.133 | CONNECT | rr4---sn-h5576nlk.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:31,174 | 192.168.31.133 | CONNECT | tpc.googlesyndication.com:443 | 200 | 0
2024-11-24 01:10:31,190 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:31,197 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:31,204 | 192.168.31.133 | CONNECT | rr1---sn-h557sn6d.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:31,624 | 192.168.31.133 | CONNECT | rr1---sn-4g5lznl6.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:34,679 | 192.168.31.133 | CONNECT | rr1---sn-4g5lznl6.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:35,798 | 192.168.31.133 | CONNECT | yt3.ggpht.com:443 | 200 | 0
2024-11-24 01:10:36,036 | 192.168.31.133 | CONNECT | rr4---sn-h5576nlk.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:36,050 | 192.168.31.133 | CONNECT | jnn-pa.googleapis.com:443 | 200 | 0
2024-11-24 01:10:36,431 | 192.168.31.133 | CONNECT | jnn-pa.googleapis.com:443 | 200 | 0
2024-11-24 01:10:36,907 | 192.168.31.133 | CONNECT | fonts.gstatic.com:443 | 200 | 0
2024-11-24 01:10:38,219 | 192.168.31.133 | CONNECT | rr4---sn-q4flrnel.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:38,765 | 192.168.31.133 | CONNECT | rr4---sn-q4flrnel.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:41,498 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:41,531 | 192.168.31.133 | CONNECT | rr4---sn-h5576nlk.googlevideo.com:443 | 200 | 0
2024-11-24 01:10:41,604 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:12,116 | 192.168.31.133 | CONNECT | pagead2.googlesyndication.com:443 | 200 | 0
2024-11-24 01:11:12,140 | 192.168.31.133 | CONNECT | rr1---sn-4g5lznl6.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:12,730 | 192.168.31.133 | CONNECT | rr1---sn-4g5lznl6.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:13,345 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:11:15,680 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:11:17,420 | 192.168.31.133 | CONNECT | rr4---sn-h5576nlk.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:17,460 | 192.168.31.133 | CONNECT | rr4---sn-q4flrnel.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:17,592 | 192.168.31.133 | CONNECT | rr4---sn-q4flrnel.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:17,791 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:17,833 | 192.168.31.133 | CONNECT | rr2---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:17,833 | 192.168.31.133 | CONNECT | rr2---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:17,874 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:17,888 | 192.168.31.133 | CONNECT | pagead2.googlesyndication.com:443 | 200 | 0
2024-11-24 01:11:21,390 | 192.168.31.133 | CONNECT | googleads.g.doubleclick.net:443 | 200 | 0
2024-11-24 01:11:21,491 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:24,613 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:27,625 | 192.168.31.133 | CONNECT | rr2---sn-h5576nsz.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:27,627 | 192.168.31.133 | CONNECT | rr3---sn-q4fzen7y.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:27,627 | 192.168.31.133 | CONNECT | rr3---sn-q4fzen7y.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:28,706 | 192.168.31.133 | CONNECT | rr4---sn-h557snzr.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:29,639 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:11:29,639 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:30,648 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:30,986 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:33,924 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:11:33,924 | 192.168.31.133 | CONNECT | rr3---sn-q4fzen7y.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:33,933 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:11:33,934 | 192.168.31.133 | CONNECT | rr3---sn-q4fzen7y.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:36,899 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:37,912 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:11:37,912 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:40,828 | 192.168.31.133 | CONNECT | rr3---sn-q4fzen7y.googlevideo.com:443 | 200 | 0
